"Third-placed teams
advance from groupsv
t
e",,,,,,,,,,,,"1A
vs","1B
vs","1D
vs","1E
vs","1G
vs","1I
vs","1K
vs","1L
vs",No.
,,,,E,F,G,H,I,J,K,L,3E,3J,3I,3F,3H,3G,3L,3K,1
,,,D,,F,G,H,I,J,K,L,3H,3G,3I,3D,3J,3F,3L,3K,2
,,,D,E,,G,H,I,J,K,L,3E,3J,3I,3D,3H,3G,3L,3K,3
,,,D,E,F,,H,I,J,K,L,3E,3J,3I,3D,3H,3F,3L,3K,4
,,,D,E,F,G,,I,J,K,L,3E,3G,3I,3D,3J,3F,3L,3K,5
,,,D,E,F,G,H,,J,K,L,3E,3G,3J,3D,3H,3F,3L,3K,6
,,,D,E,F,G,H,I,,K,L,3E,3G,3I,3D,3H,3F,3L,3K,7
,,,D,E,F,G,H,I,J,,L,3E,3G,3J,3D,3H,3F,3L,3I,8
,,,D,E,F,G,H,I,J,K,,3E,3G,3J,3D,3H,3F,3I,3K,9
,,C,,,F,G,H,I,J,K,L,3H,3G,3I,3C,3J,3F,3L,3K,10
,,C,,E,,G,H,I,J,K,L,3E,3J,3I,3C,3H,3G,3L,3K,11
,,C,,E,F,,H,I,J,K,L,3E,3J,3I,3C,3H,3F,3L,3K,12
,,C,,E,F,G,,I,J,K,L,3E,3G,3I,3C,3J,3F,3L,3K,13
,,C,,E,F,G,H,,J,K,L,3E,3G,3J,3C,3H,3F,3L,3K,14
,,C,,E,F,G,H,I,,K,L,3E,3G,3I,3C,3H,3F,3L,3K,15
,,C,,E,F,G,H,I,J,,L,3E,3G,3J,3C,3H,3F,3L,3I,16
,,C,,E,F,G,H,I,J,K,,3E,3G,3J,3C,3H,3F,3I,3K,17
,,C,D,,,G,H,I,J,K,L,3H,3G,3I,3C,3J,3D,3L,3K,18
,,C,D,,F,,H,I,J,K,L,3C,3J,3I,3D,3H,3F,3L,3K,19
,,C,D,,F,G,,I,J,K,L,3C,3G,3I,3D,3J,3F,3L,3K,20
,,C,D,,F,G,H,,J,K,L,3C,3G,3J,3D,3H,3F,3L,3K,21
,,C,D,,F,G,H,I,,K,L,3C,3G,3I,3D,3H,3F,3L,3K,22
,,C,D,,F,G,H,I,J,,L,3C,3G,3J,3D,3H,3F,3L,3I,23
,,C,D,,F,G,H,I,J,K,,3C,3G,3J,3D,3H,3F,3I,3K,24
,,C,D,E,,,H,I,J,K,L,3E,3J,3I,3C,3H,3D,3L,3K,25
,,C,D,E,,G,,I,J,K,L,3E,3G,3I,3C,3J,3D,3L,3K,26
,,C,D,E,,G,H,,J,K,L,3E,3G,3J,3C,3H,3D,3L,3K,27
,,C,D,E,,G,H,I,,K,L,3E,3G,3I,3C,3H,3D,3L,3K,28
,,C,D,E,,G,H,I,J,,L,3E,3G,3J,3C,3H,3D,3L,3I,29
,,C,D,E,,G,H,I,J,K,,3E,3G,3J,3C,3H,3D,3I,3K,30
,,C,D,E,F,,,I,J,K,L,3C,3J,3E,3D,3I,3F,3L,3K,31
,,C,D,E,F,,H,,J,K,L,3C,3J,3E,3D,3H,3F,3L,3K,32
,,C,D,E,F,,H,I,,K,L,3C,3E,3I,3D,3H,3F,3L,3K,33
,,C,D,E,F,,H,I,J,,L,3C,3J,3E,3D,3H,3F,3L,3I,34
,,C,D,E,F,,H,I,J,K,,3C,3J,3E,3D,3H,3F,3I,3K,35
,,C,D,E,F,G,,,J,K,L,3C,3G,3E,3D,3J,3F,3L,3K,36
,,C,D,E,F,G,,I,,K,L,3C,3G,3E,3D,3I,3F,3L,3K,37
,,C,D,E,F,G,,I,J,,L,3C,3G,3E,3D,3J,3F,3L,3I,38
,,C,D,E,F,G,,I,J,K,,3C,3G,3E,3D,3J,3F,3I,3K,39
,,C,D,E,F,G,H,,,K,L,3C,3G,3E,3D,3H,3F,3L,3K,40
,,C,D,E,F,G,H,,J,,L,3C,3G,3J,3D,3H,3F,3L,3E,41
,,C,D,E,F,G,H,,J,K,,3C,3G,3J,3D,3H,3F,3E,3K,42
,,C,D,E,F,G,H,I,,,L,3C,3G,3E,3D,3H,3F,3L,3I,43
,,C,D,E,F,G,H,I,,K,,3C,3G,3E,3D,3H,3F,3I,3K,44
,,C,D,E,F,G,H,I,J,,,3C,3G,3J,3D,3H,3F,3E,3I,45
,B,,,,F,G,H,I,J,K,L,3H,3J,3B,3F,3I,3G,3L,3K,46
,B,,,E,,G,H,I,J,K,L,3E,3J,3I,3B,3H,3G,3L,3K,47
,B,,,E,F,,H,I,J,K,L,3E,3J,3B,3F,3I,3H,3L,3K,48
,B,,,E,F,G,,I,J,K,L,3E,3J,3B,3F,3I,3G,3L,3K,49
,B,,,E,F,G,H,,J,K,L,3E,3J,3B,3F,3H,3G,3L,3K,50
,B,,,E,F,G,H,I,,K,L,3E,3G,3B,3F,3I,3H,3L,3K,51
,B,,,E,F,G,H,I,J,,L,3E,3J,3B,3F,3H,3G,3L,3I,52
,B,,,E,F,G,H,I,J,K,,3E,3J,3B,3F,3H,3G,3I,3K,53
,B,,D,,,G,H,I,J,K,L,3H,3J,3B,3D,3I,3G,3L,3K,54
,B,,D,,F,,H,I,J,K,L,3H,3J,3B,3D,3I,3F,3L,3K,55
,B,,D,,F,G,,I,J,K,L,3I,3G,3B,3D,3J,3F,3L,3K,56
,B,,D,,F,G,H,,J,K,L,3H,3G,3B,3D,3J,3F,3L,3K,57
,B,,D,,F,G,H,I,,K,L,3H,3G,3B,3D,3I,3F,3L,3K,58
,B,,D,,F,G,H,I,J,,L,3H,3G,3B,3D,3J,3F,3L,3I,59
,B,,D,,F,G,H,I,J,K,,3H,3G,3B,3D,3J,3F,3I,3K,60
,B,,D,E,,,H,I,J,K,L,3E,3J,3B,3D,3I,3H,3L,3K,61
,B,,D,E,,G,,I,J,K,L,3E,3J,3B,3D,3I,3G,3L,3K,62
,B,,D,E,,G,H,,J,K,L,3E,3J,3B,3D,3H,3G,3L,3K,63
,B,,D,E,,G,H,I,,K,L,3E,3G,3B,3D,3I,3H,3L,3K,64
,B,,D,E,,G,H,I,J,,L,3E,3J,3B,3D,3H,3G,3L,3I,65
,B,,D,E,,G,H,I,J,K,,3E,3J,3B,3D,3H,3G,3I,3K,66
,B,,D,E,F,,,I,J,K,L,3E,3J,3B,3D,3I,3F,3L,3K,67
,B,,D,E,F,,H,,J,K,L,3E,3J,3B,3D,3H,3F,3L,3K,68
,B,,D,E,F,,H,I,,K,L,3E,3I,3B,3D,3H,3F,3L,3K,69
,B,,D,E,F,,H,I,J,,L,3E,3J,3B,3D,3H,3F,3L,3I,70
,B,,D,E,F,,H,I,J,K,,3E,3J,3B,3D,3H,3F,3I,3K,71
,B,,D,E,F,G,,,J,K,L,3E,3G,3B,3D,3J,3F,3L,3K,72
,B,,D,E,F,G,,I,,K,L,3E,3G,3B,3D,3I,3F,3L,3K,73
,B,,D,E,F,G,,I,J,,L,3E,3G,3B,3D,3J,3F,3L,3I,74
,B,,D,E,F,G,,I,J,K,,3E,3G,3B,3D,3J,3F,3I,3K,75
,B,,D,E,F,G,H,,,K,L,3E,3G,3B,3D,3H,3F,3L,3K,76
,B,,D,E,F,G,H,,J,,L,3H,3G,3B,3D,3J,3F,3L,3E,77
,B,,D,E,F,G,H,,J,K,,3H,3G,3B,3D,3J,3F,3E,3K,78
,B,,D,E,F,G,H,I,,,L,3E,3G,3B,3D,3H,3F,3L,3I,79
,B,,D,E,F,G,H,I,,K,,3E,3G,3B,3D,3H,3F,3I,3K,80
,B,,D,E,F,G,H,I,J,,,3H,3G,3B,3D,3J,3F,3E,3I,81
,B,C,,,,G,H,I,J,K,L,3H,3J,3B,3C,3I,3G,3L,3K,82
,B,C,,,F,,H,I,J,K,L,3H,3J,3B,3C,3I,3F,3L,3K,83
,B,C,,,F,G,,I,J,K,L,3I,3G,3B,3C,3J,3F,3L,3K,84
,B,C,,,F,G,H,,J,K,L,3H,3G,3B,3C,3J,3F,3L,3K,85
,B,C,,,F,G,H,I,,K,L,3H,3G,3B,3C,3I,3F,3L,3K,86
,B,C,,,F,G,H,I,J,,L,3H,3G,3B,3C,3J,3F,3L,3I,87
,B,C,,,F,G,H,I,J,K,,3H,3G,3B,3C,3J,3F,3I,3K,88
,B,C,,E,,,H,I,J,K,L,3E,3J,3B,3C,3I,3H,3L,3K,89
,B,C,,E,,G,,I,J,K,L,3E,3J,3B,3C,3I,3G,3L,3K,90
,B,C,,E,,G,H,,J,K,L,3E,3J,3B,3C,3H,3G,3L,3K,91
,B,C,,E,,G,H,I,,K,L,3E,3G,3B,3C,3I,3H,3L,3K,92
,B,C,,E,,G,H,I,J,,L,3E,3J,3B,3C,3H,3G,3L,3I,93
,B,C,,E,,G,H,I,J,K,,3E,3J,3B,3C,3H,3G,3I,3K,94
,B,C,,E,F,,,I,J,K,L,3E,3J,3B,3C,3I,3F,3L,3K,95
,B,C,,E,F,,H,,J,K,L,3E,3J,3B,3C,3H,3F,3L,3K,96
,B,C,,E,F,,H,I,,K,L,3E,3I,3B,3C,3H,3F,3L,3K,97
,B,C,,E,F,,H,I,J,,L,3E,3J,3B,3C,3H,3F,3L,3I,98
,B,C,,E,F,,H,I,J,K,,3E,3J,3B,3C,3H,3F,3I,3K,99
,B,C,,E,F,G,,,J,K,L,3E,3G,3B,3C,3J,3F,3L,3K,100
,B,C,,E,F,G,,I,,K,L,3E,3G,3B,3C,3I,3F,3L,3K,101
,B,C,,E,F,G,,I,J,,L,3E,3G,3B,3C,3J,3F,3L,3I,102
,B,C,,E,F,G,,I,J,K,,3E,3G,3B,3C,3J,3F,3I,3K,103
,B,C,,E,F,G,H,,,K,L,3E,3G,3B,3C,3H,3F,3L,3K,104
,B,C,,E,F,G,H,,J,,L,3H,3G,3B,3C,3J,3F,3L,3E,105
,B,C,,E,F,G,H,,J,K,,3H,3G,3B,3C,3J,3F,3E,3K,106
,B,C,,E,F,G,H,I,,,L,3E,3G,3B,3C,3H,3F,3L,3I,107
,B,C,,E,F,G,H,I,,K,,3E,3G,3B,3C,3H,3F,3I,3K,108
,B,C,,E,F,G,H,I,J,,,3H,3G,3B,3C,3J,3F,3E,3I,109
,B,C,D,,,,H,I,J,K,L,3H,3J,3B,3C,3I,3D,3L,3K,110
,B,C,D,,,G,,I,J,K,L,3I,3G,3B,3C,3J,3D,3L,3K,111
,B,C,D,,,G,H,,J,K,L,3H,3G,3B,3C,3J,3D,3L,3K,112
,B,C,D,,,G,H,I,,K,L,3H,3G,3B,3C,3I,3D,3L,3K,113
,B,C,D,,,G,H,I,J,,L,3H,3G,3B,3C,3J,3D,3L,3I,114
,B,C,D,,,G,H,I,J,K,,3H,3G,3B,3C,3J,3D,3I,3K,115
,B,C,D,,F,,,I,J,K,L,3C,3J,3B,3D,3I,3F,3L,3K,116
,B,C,D,,F,,H,,J,K,L,3C,3J,3B,3D,3H,3F,3L,3K,117
,B,C,D,,F,,H,I,,K,L,3C,3I,3B,3D,3H,3F,3L,3K,118
,B,C,D,,F,,H,I,J,,L,3C,3J,3B,3D,3H,3F,3L,3I,119
,B,C,D,,F,,H,I,J,K,,3C,3J,3B,3D,3H,3F,3I,3K,120
,B,C,D,,F,G,,,J,K,L,3C,3G,3B,3D,3J,3F,3L,3K,121
,B,C,D,,F,G,,I,,K,L,3C,3G,3B,3D,3I,3F,3L,3K,122
,B,C,D,,F,G,,I,J,,L,3C,3G,3B,3D,3J,3F,3L,3I,123
,B,C,D,,F,G,,I,J,K,,3C,3G,3B,3D,3J,3F,3I,3K,124
,B,C,D,,F,G,H,,,K,L,3C,3G,3B,3D,3H,3F,3L,3K,125
,B,C,D,,F,G,H,,J,,L,3C,3G,3B,3D,3H,3F,3L,3J,126
,B,C,D,,F,G,H,,J,K,,3H,3G,3B,3C,3J,3F,3D,3K,127
,B,C,D,,F,G,H,I,,,L,3C,3G,3B,3D,3H,3F,3L,3I,128
,B,C,D,,F,G,H,I,,K,,3C,3G,3B,3D,3H,3F,3I,3K,129
,B,C,D,,F,G,H,I,J,,,3H,3G,3B,3C,3J,3F,3D,3I,130
,B,C,D,E,,,,I,J,K,L,3E,3J,3B,3C,3I,3D,3L,3K,131
,B,C,D,E,,,H,,J,K,L,3E,3J,3B,3C,3H,3D,3L,3K,132
,B,C,D,E,,,H,I,,K,L,3E,3I,3B,3C,3H,3D,3L,3K,133
,B,C,D,E,,,H,I,J,,L,3E,3J,3B,3C,3H,3D,3L,3I,134
,B,C,D,E,,,H,I,J,K,,3E,3J,3B,3C,3H,3D,3I,3K,135
,B,C,D,E,,G,,,J,K,L,3E,3G,3B,3C,3J,3D,3L,3K,136
,B,C,D,E,,G,,I,,K,L,3E,3G,3B,3C,3I,3D,3L,3K,137
,B,C,D,E,,G,,I,J,,L,3E,3G,3B,3C,3J,3D,3L,3I,138
,B,C,D,E,,G,,I,J,K,,3E,3G,3B,3C,3J,3D,3I,3K,139
,B,C,D,E,,G,H,,,K,L,3E,3G,3B,3C,3H,3D,3L,3K,140
,B,C,D,E,,G,H,,J,,L,3H,3G,3B,3C,3J,3D,3L,3E,141
,B,C,D,E,,G,H,,J,K,,3H,3G,3B,3C,3J,3D,3E,3K,142
,B,C,D,E,,G,H,I,,,L,3E,3G,3B,3C,3H,3D,3L,3I,143
,B,C,D,E,,G,H,I,,K,,3E,3G,3B,3C,3H,3D,3I,3K,144
,B,C,D,E,,G,H,I,J,,,3H,3G,3B,3C,3J,3D,3E,3I,145
,B,C,D,E,F,,,,J,K,L,3C,3J,3B,3D,3E,3F,3L,3K,146
,B,C,D,E,F,,,I,,K,L,3C,3E,3B,3D,3I,3F,3L,3K,147
,B,C,D,E,F,,,I,J,,L,3C,3J,3B,3D,3E,3F,3L,3I,148
,B,C,D,E,F,,,I,J,K,,3C,3J,3B,3D,3E,3F,3I,3K,149
,B,C,D,E,F,,H,,,K,L,3C,3E,3B,3D,3H,3F,3L,3K,150
,B,C,D,E,F,,H,,J,,L,3C,3J,3B,3D,3H,3F,3L,3E,151
,B,C,D,E,F,,H,,J,K,,3C,3J,3B,3D,3H,3F,3E,3K,152
,B,C,D,E,F,,H,I,,,L,3C,3E,3B,3D,3H,3F,3L,3I,153
,B,C,D,E,F,,H,I,,K,,3C,3E,3B,3D,3H,3F,3I,3K,154
,B,C,D,E,F,,H,I,J,,,3C,3J,3B,3D,3H,3F,3E,3I,155
,B,C,D,E,F,G,,,,K,L,3C,3G,3B,3D,3E,3F,3L,3K,156
,B,C,D,E,F,G,,,J,,L,3C,3G,3B,3D,3J,3F,3L,3E,157
,B,C,D,E,F,G,,,J,K,,3C,3G,3B,3D,3J,3F,3E,3K,158
,B,C,D,E,F,G,,I,,,L,3C,3G,3B,3D,3E,3F,3L,3I,159
,B,C,D,E,F,G,,I,,K,,3C,3G,3B,3D,3E,3F,3I,3K,160
,B,C,D,E,F,G,,I,J,,,3C,3G,3B,3D,3J,3F,3E,3I,161
,B,C,D,E,F,G,H,,,,L,3C,3G,3B,3D,3H,3F,3L,3E,162
,B,C,D,E,F,G,H,,,K,,3C,3G,3B,3D,3H,3F,3E,3K,163
,B,C,D,E,F,G,H,,J,,,3H,3G,3B,3C,3J,3F,3D,3E,164
,B,C,D,E,F,G,H,I,,,,3C,3G,3B,3D,3H,3F,3E,3I,165
A,,,,,F,G,H,I,J,K,L,3H,3J,3I,3F,3A,3G,3L,3K,166
A,,,,E,,G,H,I,J,K,L,3E,3J,3I,3A,3H,3G,3L,3K,167
A,,,,E,F,,H,I,J,K,L,3E,3J,3I,3F,3A,3H,3L,3K,168
A,,,,E,F,G,,I,J,K,L,3E,3J,3I,3F,3A,3G,3L,3K,169
A,,,,E,F,G,H,,J,K,L,3E,3G,3J,3F,3A,3H,3L,3K,170
A,,,,E,F,G,H,I,,K,L,3E,3G,3I,3F,3A,3H,3L,3K,171
A,,,,E,F,G,H,I,J,,L,3E,3G,3J,3F,3A,3H,3L,3I,172
A,,,,E,F,G,H,I,J,K,,3E,3G,3J,3F,3A,3H,3I,3K,173
A,,,D,,,G,H,I,J,K,L,3H,3J,3I,3D,3A,3G,3L,3K,174
A,,,D,,F,,H,I,J,K,L,3H,3J,3I,3D,3A,3F,3L,3K,175
A,,,D,,F,G,,I,J,K,L,3I,3G,3J,3D,3A,3F,3L,3K,176
A,,,D,,F,G,H,,J,K,L,3H,3G,3J,3D,3A,3F,3L,3K,177
A,,,D,,F,G,H,I,,K,L,3H,3G,3I,3D,3A,3F,3L,3K,178
A,,,D,,F,G,H,I,J,,L,3H,3G,3J,3D,3A,3F,3L,3I,179
A,,,D,,F,G,H,I,J,K,,3H,3G,3J,3D,3A,3F,3I,3K,180
A,,,D,E,,,H,I,J,K,L,3E,3J,3I,3D,3A,3H,3L,3K,181
A,,,D,E,,G,,I,J,K,L,3E,3J,3I,3D,3A,3G,3L,3K,182
A,,,D,E,,G,H,,J,K,L,3E,3G,3J,3D,3A,3H,3L,3K,183
A,,,D,E,,G,H,I,,K,L,3E,3G,3I,3D,3A,3H,3L,3K,184
A,,,D,E,,G,H,I,J,,L,3E,3G,3J,3D,3A,3H,3L,3I,185
A,,,D,E,,G,H,I,J,K,,3E,3G,3J,3D,3A,3H,3I,3K,186
A,,,D,E,F,,,I,J,K,L,3E,3J,3I,3D,3A,3F,3L,3K,187
A,,,D,E,F,,H,,J,K,L,3H,3J,3E,3D,3A,3F,3L,3K,188
A,,,D,E,F,,H,I,,K,L,3H,3E,3I,3D,3A,3F,3L,3K,189
A,,,D,E,F,,H,I,J,,L,3H,3J,3E,3D,3A,3F,3L,3I,190
A,,,D,E,F,,H,I,J,K,,3H,3J,3E,3D,3A,3F,3I,3K,191
A,,,D,E,F,G,,,J,K,L,3E,3G,3J,3D,3A,3F,3L,3K,192
A,,,D,E,F,G,,I,,K,L,3E,3G,3I,3D,3A,3F,3L,3K,193
A,,,D,E,F,G,,I,J,,L,3E,3G,3J,3D,3A,3F,3L,3I,194
A,,,D,E,F,G,,I,J,K,,3E,3G,3J,3D,3A,3F,3I,3K,195
A,,,D,E,F,G,H,,,K,L,3H,3G,3E,3D,3A,3F,3L,3K,196
A,,,D,E,F,G,H,,J,,L,3H,3G,3J,3D,3A,3F,3L,3E,197
A,,,D,E,F,G,H,,J,K,,3H,3G,3J,3D,3A,3F,3E,3K,198
A,,,D,E,F,G,H,I,,,L,3H,3G,3E,3D,3A,3F,3L,3I,199
A,,,D,E,F,G,H,I,,K,,3H,3G,3E,3D,3A,3F,3I,3K,200
A,,,D,E,F,G,H,I,J,,,3H,3G,3J,3D,3A,3F,3E,3I,201
A,,C,,,,G,H,I,J,K,L,3H,3J,3I,3C,3A,3G,3L,3K,202
A,,C,,,F,,H,I,J,K,L,3H,3J,3I,3C,3A,3F,3L,3K,203
A,,C,,,F,G,,I,J,K,L,3I,3G,3J,3C,3A,3F,3L,3K,204
A,,C,,,F,G,H,,J,K,L,3H,3G,3J,3C,3A,3F,3L,3K,205
A,,C,,,F,G,H,I,,K,L,3H,3G,3I,3C,3A,3F,3L,3K,206
A,,C,,,F,G,H,I,J,,L,3H,3G,3J,3C,3A,3F,3L,3I,207
A,,C,,,F,G,H,I,J,K,,3H,3G,3J,3C,3A,3F,3I,3K,208
A,,C,,E,,,H,I,J,K,L,3E,3J,3I,3C,3A,3H,3L,3K,209
A,,C,,E,,G,,I,J,K,L,3E,3J,3I,3C,3A,3G,3L,3K,210
A,,C,,E,,G,H,,J,K,L,3E,3G,3J,3C,3A,3H,3L,3K,211
A,,C,,E,,G,H,I,,K,L,3E,3G,3I,3C,3A,3H,3L,3K,212
A,,C,,E,,G,H,I,J,,L,3E,3G,3J,3C,3A,3H,3L,3I,213
A,,C,,E,,G,H,I,J,K,,3E,3G,3J,3C,3A,3H,3I,3K,214
A,,C,,E,F,,,I,J,K,L,3E,3J,3I,3C,3A,3F,3L,3K,215
A,,C,,E,F,,H,,J,K,L,3H,3J,3E,3C,3A,3F,3L,3K,216
A,,C,,E,F,,H,I,,K,L,3H,3E,3I,3C,3A,3F,3L,3K,217
A,,C,,E,F,,H,I,J,,L,3H,3J,3E,3C,3A,3F,3L,3I,218
A,,C,,E,F,,H,I,J,K,,3H,3J,3E,3C,3A,3F,3I,3K,219
A,,C,,E,F,G,,,J,K,L,3E,3G,3J,3C,3A,3F,3L,3K,220
A,,C,,E,F,G,,I,,K,L,3E,3G,3I,3C,3A,3F,3L,3K,221
A,,C,,E,F,G,,I,J,,L,3E,3G,3J,3C,3A,3F,3L,3I,222
A,,C,,E,F,G,,I,J,K,,3E,3G,3J,3C,3A,3F,3I,3K,223
A,,C,,E,F,G,H,,,K,L,3H,3G,3E,3C,3A,3F,3L,3K,224
A,,C,,E,F,G,H,,J,,L,3H,3G,3J,3C,3A,3F,3L,3E,225
A,,C,,E,F,G,H,,J,K,,3H,3G,3J,3C,3A,3F,3E,3K,226
A,,C,,E,F,G,H,I,,,L,3H,3G,3E,3C,3A,3F,3L,3I,227
A,,C,,E,F,G,H,I,,K,,3H,3G,3E,3C,3A,3F,3I,3K,228
A,,C,,E,F,G,H,I,J,,,3H,3G,3J,3C,3A,3F,3E,3I,229
A,,C,D,,,,H,I,J,K,L,3H,3J,3I,3C,3A,3D,3L,3K,230
A,,C,D,,,G,,I,J,K,L,3I,3G,3J,3C,3A,3D,3L,3K,231
A,,C,D,,,G,H,,J,K,L,3H,3G,3J,3C,3A,3D,3L,3K,232
A,,C,D,,,G,H,I,,K,L,3H,3G,3I,3C,3A,3D,3L,3K,233
A,,C,D,,,G,H,I,J,,L,3H,3G,3J,3C,3A,3D,3L,3I,234
A,,C,D,,,G,H,I,J,K,,3H,3G,3J,3C,3A,3D,3I,3K,235
A,,C,D,,F,,,I,J,K,L,3C,3J,3I,3D,3A,3F,3L,3K,236
A,,C,D,,F,,H,,J,K,L,3H,3J,3F,3C,3A,3D,3L,3K,237
A,,C,D,,F,,H,I,,K,L,3H,3F,3I,3C,3A,3D,3L,3K,238
A,,C,D,,F,,H,I,J,,L,3H,3J,3F,3C,3A,3D,3L,3I,239
A,,C,D,,F,,H,I,J,K,,3H,3J,3F,3C,3A,3D,3I,3K,240
A,,C,D,,F,G,,,J,K,L,3C,3G,3J,3D,3A,3F,3L,3K,241
